"event_type","reason","total_events","total_cost_impact","avg_cost_impact"
"ASI","Owner Request","6","1733901.60","288983.60"
"CCD","Owner Request","7","1656837.94","236691.13"
"Field Order","Value Engineering","8","1605621.68","200702.71"
"COR","Scope Addition","5","1315555.68","263111.14"
"CCD","Scope Addition","5","1068754.20","213750.84"
"COR","Unforeseen Conditions","4","1062315.93","265578.98"
"Field Order","Unforeseen Conditions","3","989037.24","329679.08"
"ASI","Unforeseen Conditions","3","799199.21","266399.74"
"COR","Design Error","4","791410.95","197852.74"
"Change Order","Owner Request","3","745056.29","248352.10"
"CCD","Value Engineering","6","744734.32","124122.39"
"CCD","Design Error","4","743568.05","185892.01"
"ASI","Value Engineering","3","703933.75","234644.58"
"COR","Code Compliance","4","694387.67","173596.92"
"COR","Owner Request","2","682845.09","341422.55"
"ASI","Code Compliance","5","678542.48","135708.50"
"ASI","Design Error","4","649324.87","162331.22"
"COR","Value Engineering","2","597311.45","298655.73"
"Change Order","Unforeseen Conditions","4","583335.09","145833.77"
"CCD","Unforeseen Conditions","4","550673.30","137668.33"
"Field Order","Scope Addition","3","549516.13","183172.04"
"CCD","Code Compliance","1","472019.10","472019.10"
"Field Order","Owner Request","3","415231.67","138410.56"
"Field Order","Design Error","2","383448.72","191724.36"
"Change Order","Value Engineering","1","291637.59","291637.59"
"ASI","Scope Addition","1","280226.39","280226.39"
"Field Order","Code Compliance","1","260415.59","260415.59"
"Change Order","Design Error","1","233498.61","233498.61"
"Change Order","Code Compliance","3","181184.91","60394.97"
