"project_id","project_name","total_change_events","total_cost_impact","avg_cost_impact","total_schedule_impact_days"
7,"Dallas Data Center Phase 1","12","2982015.28","248501.273333333333","284"
6,"Denver Data Center Phase 1","11","2707626.51","246147.864545454545","239"
5,"Denver Data Center Phase 1","11","2687396.74","244308.794545454545","258"
4,"Phoenix Data Center Build 1","12","2477884.93","206490.410833333333","200"
2,"Richmond Data Center Build 1","9","2354009.40","261556.600000000000","176"
8,"Chicago Data Center Build 1","9","2020542.11","224504.678888888889","175"
10,"Seattle Data Center Phase 1","10","1834296.39","183429.639000000000","215"
1,"Austin Data Center Expansion","9","1686303.15","187367.016666666667","210"
9,"Richmond Data Center Phase 2","11","1656061.54","150551.049090909091","185"
3,"Las Vegas Data Center Phase 2","8","1057389.45","132173.681250000000","159"
