"project_id","project_name","total_rfis","open_rfis","closed_rfis","led_to_change","avg_response_days"
4,"Phoenix Data Center Build 1","20","8","7","8","30.1"
1,"Austin Data Center Expansion","20","8","5","10","36.1"
8,"Chicago Data Center Build 1","18","8","9","8","30.7"
10,"Seattle Data Center Phase 1","18","4","11","8","30.6"
3,"Las Vegas Data Center Phase 2","17","5","8","8","25.7"
7,"Dallas Data Center Phase 1","17","6","5","10","24.8"
6,"Denver Data Center Phase 1","16","8","4","6","30.2"
5,"Denver Data Center Phase 1","16","6","4","8","29.2"
2,"Richmond Data Center Build 1","15","3","8","5","31.2"
9,"Richmond Data Center Phase 2","15","6","7","10","28.6"
