"project_name","period_date","planned_spend","actual_spend","cumulative_planned","cumulative_actual","cumulative_variance"
"Austin Data Center Expansion","2022-03-01","1008161.52","996891.51","1008161.52","996891.51","-11270.01"
"Austin Data Center Expansion","2022-04-01","649027.13","624730.96","1657188.65","1621622.47","-35566.18"
"Austin Data Center Expansion","2022-05-01","682840.74","691845.81","2340029.39","2313468.28","-26561.11"
"Austin Data Center Expansion","2022-06-01","965595.29","924989.88","3305624.68","3238458.16","-67166.52"
"Austin Data Center Expansion","2022-07-01","742061.74","860037.82","4047686.42","4098495.98","50809.56"
"Austin Data Center Expansion","2022-08-01","824306.01","932278.41","4871992.43","5030774.39","158781.96"
"Austin Data Center Expansion","2022-09-01","1022579.08","1141781.27","5894571.51","6172555.66","277984.15"
"Austin Data Center Expansion","2022-10-01","711586.24","655438.26","6606157.75","6827993.92","221836.17"
"Austin Data Center Expansion","2022-11-01","705932.68","611337.99","7312090.43","7439331.91","127241.48"
"Austin Data Center Expansion","2022-12-01","1132128.83","1256027.12","8444219.26","8695359.03","251139.77"
"Austin Data Center Expansion","2023-01-01","476502.66","497306.31","8920721.92","9192665.34","271943.42"
"Austin Data Center Expansion","2023-02-01","915573.07","1008965.35","9836294.99","10201630.69","365335.70"
"Austin Data Center Expansion","2023-03-01","692222.86","635922.38","10528517.85","10837553.07","309035.22"
"Austin Data Center Expansion","2023-04-01","641826.21","673549.32","11170344.06","11511102.39","340758.33"
"Austin Data Center Expansion","2023-05-01","653975.31","681916.33","11824319.37","12193018.72","368699.35"
"Austin Data Center Expansion","2023-06-01","1193510.56","1155494.26","13017829.93","13348512.98","330683.05"
"Richmond Data Center Build 1","2020-02-01","819866.66","837098.11","819866.66","837098.11","17231.45"
"Richmond Data Center Build 1","2020-03-01","795931.03","882574.44","1615797.69","1719672.55","103874.86"
"Richmond Data Center Build 1","2020-04-01","637937.10","705858.44","2253734.79","2425530.99","171796.20"
"Richmond Data Center Build 1","2020-05-01","572597.95","514757.25","2826332.74","2940288.24","113955.50"
"Richmond Data Center Build 1","2020-06-01","689483.83","630475.54","3515816.57","3570763.78","54947.21"
"Richmond Data Center Build 1","2020-07-01","895640.01","1071734.69","4411456.58","4642498.47","231041.89"
"Richmond Data Center Build 1","2020-08-01","936455.54","967714.94","5347912.12","5610213.41","262301.29"
"Richmond Data Center Build 1","2020-09-01","865394.13","758098.80","6213306.25","6368312.21","155005.96"
"Richmond Data Center Build 1","2020-10-01","852721.98","739292.93","7066028.23","7107605.14","41576.91"
"Richmond Data Center Build 1","2020-11-01","364653.25","327503.12","7430681.48","7435108.26","4426.78"
"Richmond Data Center Build 1","2020-12-01","740091.23","646683.41","8170772.71","8081791.67","-88981.04"
"Richmond Data Center Build 1","2021-01-01","451637.05","418465.16","8622409.76","8500256.83","-122152.93"
"Richmond Data Center Build 1","2021-02-01","635038.96","553218.98","9257448.72","9053475.81","-203972.91"
"Richmond Data Center Build 1","2021-03-01","744316.94","875961.52","10001765.66","9929437.33","-72328.33"
"Richmond Data Center Build 1","2021-04-01","909703.90","983162.05","10911469.56","10912599.38","1129.82"
"Las Vegas Data Center Phase 2","2020-12-01","662929.04","686976.37","662929.04","686976.37","24047.33"
"Las Vegas Data Center Phase 2","2021-01-01","1088859.96","931905.32","1751789.00","1618881.69","-132907.31"
"Las Vegas Data Center Phase 2","2021-02-01","1423541.88","1476936.57","3175330.88","3095818.26","-79512.62"
"Las Vegas Data Center Phase 2","2021-03-01","954655.28","979262.10","4129986.16","4075080.36","-54905.80"
"Las Vegas Data Center Phase 2","2021-04-01","1397343.00","1398322.01","5527329.16","5473402.37","-53926.79"
