"project_name","status","count"
"Austin Data Center Expansion","Approved","1"
"Austin Data Center Expansion","Approved as Noted","3"
"Austin Data Center Expansion","Pending","0"
"Austin Data Center Expansion","Rejected","2"
"Austin Data Center Expansion","Revise and Resubmit","4"
"Chicago Data Center Build 1","Approved","2"
"Chicago Data Center Build 1","Approved as Noted","0"
"Chicago Data Center Build 1","Pending","5"
"Chicago Data Center Build 1","Rejected","2"
"Chicago Data Center Build 1","Revise and Resubmit","4"
"Dallas Data Center Phase 1","Approved","1"
"Dallas Data Center Phase 1","Approved as Noted","4"
"Dallas Data Center Phase 1","Pending","1"
"Dallas Data Center Phase 1","Rejected","0"
"Dallas Data Center Phase 1","Revise and Resubmit","4"
"Denver Data Center Phase 1","Approved","2"
"Denver Data Center Phase 1","Approved as Noted","3"
"Denver Data Center Phase 1","Pending","7"
"Denver Data Center Phase 1","Rejected","1"
"Denver Data Center Phase 1","Revise and Resubmit","1"
"Denver Data Center Phase 2","Approved","2"
"Denver Data Center Phase 2","Approved as Noted","4"
"Denver Data Center Phase 2","Pending","5"
"Denver Data Center Phase 2","Rejected","2"
"Denver Data Center Phase 2","Revise and Resubmit","2"
"Las Vegas Data Center Phase 2","Approved","2"
"Las Vegas Data Center Phase 2","Approved as Noted","3"
"Las Vegas Data Center Phase 2","Pending","4"
"Las Vegas Data Center Phase 2","Rejected","4"
"Las Vegas Data Center Phase 2","Revise and Resubmit","1"
"Phoenix Data Center Build 1","Approved","2"
"Phoenix Data Center Build 1","Approved as Noted","2"
"Phoenix Data Center Build 1","Pending","3"
"Phoenix Data Center Build 1","Rejected","4"
"Phoenix Data Center Build 1","Revise and Resubmit","3"
"Richmond Data Center Build 1","Approved","0"
"Richmond Data Center Build 1","Approved as Noted","5"
"Richmond Data Center Build 1","Pending","4"
"Richmond Data Center Build 1","Rejected","2"
"Richmond Data Center Build 1","Revise and Resubmit","4"
"Richmond Data Center Phase 2","Approved","4"
"Richmond Data Center Phase 2","Approved as Noted","2"
"Richmond Data Center Phase 2","Pending","3"
"Richmond Data Center Phase 2","Rejected","2"
"Richmond Data Center Phase 2","Revise and Resubmit","2"
"Seattle Data Center Phase 1","Approved","0"
"Seattle Data Center Phase 1","Approved as Noted","5"
"Seattle Data Center Phase 1","Pending","4"
"Seattle Data Center Phase 1","Rejected","1"
"Seattle Data Center Phase 1","Revise and Resubmit","2"
